"liste_gene_cible_par_individu","code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","code_ind_tri_morpho","code_ind_biomol","taxname_sqc_ass"
"AM4;16S;COI;28S","FONTANIL","43.752778","3.623056","STENASELLUS_BUILI|FONTANIL_200908","STENASELLUS_BUILI","STENASELLUS_BUILI|FONTANIL_200908[2]SBF1","Sbuili|FONTANIL_200908_1ID","STENASELLUS_BUILI"
"AM4;COI;16S;28S","FONTMAIN","47.09351","6.05768","PROASELLUS_STROUHALI|FONTMAIN_201006","PROASELLUS_STROUHALI","PROASELLUS_STROUHALI|FONTMAIN_201006[1]PStFm1","Pstrouhali|FONTMAIN_201006_1ID","PROASELLUS_STROUHALI"
"16S;AM4;28S;COI","FONTROI","46.03528","-0.464167","GALLASELLUS_HEILYI|FONTROI_200812","GALLASELLUS_HEILYI","GALLASELLUS_HEILYI|FONTROI_200812[1]GHR1","Gheyli|FONTROI_200812_1ID","GALLASELLUS_HEILYI"
"28S;AM4;16S;COI","FONTTOSI","45.561586","8.555128","PROASELLUS_N_SP_BERTOLAI|FONTTOSI_201504","PROASELLUS_N_SP_BERTOLAI","PROASELLUS_N_SP_BERTOLAI|FONTTOSI_201504[A1]PspBF1","PnspBertolai|FONTTOSI_201504_1ID","PROASELLUS_N_SP_BERTOLAI"
"COI;16S;28S;AM4","FONTTOSI","45.561586","8.555128","PROASELLUS_N_SP_BERTOLAI|FONTTOSI_201504","PROASELLUS_N_SP_BERTOLAI","PROASELLUS_N_SP_BERTOLAI|FONTTOSI_201504[A2]PspBF2","PnspBertolai|FONTTOSI_201504_2ID","PROASELLUS_N_SP_BERTOLAI"
"AM4;16S;28S;COI","FOUIGE","44.04515","7.57694","PROASELLUS_SP|FOUIGE_201108","PROASELLUS_SP","PROASELLUS_SP|FOUIGE_201108[B]PspFo1","Psp|FOUIGE_201108_1","PROASELLUS_N_SP_TENDE"
"16S;AM4;28S;COI","FOUIGE","44.04515","7.57694","PROASELLUS_SP|FOUIGE_201108","PROASELLUS_SP","PROASELLUS_SP|FOUIGE_201108[Bjuv]PspFo2","Psp|FOUIGE_201108_2","PROASELLUS_N_SP_TENDE"
"COI;COI;16S;16S;AM4;AM4;28S","FOUSTER","43.91028","2.222778","PROASELLUS_ALBIGENSIS|FOUSTER_200804","PROASELLUS_ALBIGENSIS","PROASELLUS_ALBIGENSIS|FOUSTER_200804[B]PAF1","Palbigensis|FOUSTER_200804_1","PROASELLUS_ALBIGENSIS"
"16S;28S;28S;AM4;AM4;COI;COI;16S","FPLATANO","40.608538","15.448686","PROASELLUS_COXALIS|FPLATANO_201405","PROASELLUS_COXALIS","PROASELLUS_COXALIS|FPLATANO_201405[A1]PCoFp1","Pcoxalis|FPLATANO_201405_1ID","PROASELLUS_COXALIS"
"COI;28S;16S;OPS1;OPS1;OPS1;AM4","FRAITE","46.525","5.733889","PROASELLUS_CAVATICUS|FRAITE_200711","PROASELLUS_CAVATICUS","PROASELLUS_CAVATICUS|FRAITE_200711[8]PCBF1","Pcavaticus|FRAITE_200711_1","PROASELLUS_CAVATICUS"
